Game Title,Designer,Publisher,Free or Paid,Price,Number of Players,Playtime,Age Range,Theme,Main Mechanism,Secondary Mechanism,Gameplay Complexity,Gameplay Mode,Game Category,PnP Crafting Challenge Level,One-Sentence Short Description,Long Description,Download Link,Secondary Download Link,Print Components,Other Components,Languages,Release Year,Game Image,Curated Lists,Report Dead Link
The Great Escape Recon,John Grills,Zadorf Games,Paid,£5.00,1,up to 20 minutes,8+,War / Wargame,Card Play,Network / Route Building,LIGHT-MEDIUM,Solo,Standalone Expansion,Simple Cuts (a few cards or tiles),What we need to know is what lies just beyond those trees!,"First, move from hut to hut avoiding the guards and searchlights to make your escape. Then, make your way across the various terrain and gather the vital information that will help your fellow campmates escape. The guards will be hunting you down at every move! Any knowledge gained about the surrounding area can then be used to help POWs escape in The Great Escape.",https://zadorf-games.square.site/product/the-great-escape-recon/4,https://drive.google.com/file/d/122GvLPC4Bq8onygPL5ug16nf24elfdHc/view,8,,English,2021,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/pgvvzfoCh2Wmbme2AlCA.jpg,,help@pnpfinder.com
The Great Escape Day 1,John Grills,Zadorf Games,Paid,£5.00,1,up to 20 minutes,8+,War / Wargame,Card Play,Action Selection,LIGHT-MEDIUM,Solo,Expansion,"Moderate Assembly (cards, boards, tiles, square tokens)",Utilise the POWs to the best of your abilities to achieve the following:,"• Discover the spy's identity • Set up a lookout system • Blackmail guards • Start tunneling • Conceal dirt from the tunnels • Create disguises • Hide wire cutters • Create distractions (fist fights) • Find the blind spot in the fence And most important of all, try to escape. • Leap from the transporter before you even reach camp • Integrate POWs amongst the forced labour • Hide POWs in trucks",https://zadorf-games.square.site/product/the-great-escape-day-1/6,https://drive.google.com/file/d/1MooBG44BGejawKJ6RIWRH3hpnk6e1IQz/view,16,,English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/cR4kS9S9UbemXwVrOIGV.jpg,,help@pnpfinder.com
Twosocks,John Grills,Zadorf Games,Paid,£6.99,1-5,up to 60 minutes,12+,Adventure,Exploration,Role Playing,LIGHT-MEDIUM,Solo/Cooperative,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)","Castles, Dragons, Witches, Werewolves, Old Cobbled Streets, Graveyards, and a few heroes thrown in!","Venture into the old town of Twosocks and find, buy, and risk you life to acquire the items that you will need to defeat the Evil Lord Zadorf.",https://zadorf-games.square.site/product/twosocks/21,https://drive.google.com/file/d/1pGvW0DcQlSvjqLqSpVhertJDnl0ZgyzX/view https://drive.google.com/file/d/1J7aTO-704Fbcu00E0NCXgHynUP9MLwFD/view,6,One six sided die,English,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/inLajGCu7M2O5XUtHVCp.jpg,,help@pnpfinder.com
Beyond Sector X,Justin Humbert,Web Published,Free,$,1,up to 90 minutes,12+,Dungeon Crawl,Grid Movement,Multi-use Cards,MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),A solo space adventure of heroism and vengeance.,"Amidst the vast emptiness of space, you take on the role of a lone explorer, venturing forth on a perilous mission. When a ruthless band of extraterrestrial foes abducts your trusted companion, you must summon all your courage and cunning to infiltrate the enemy mothership, battle the monstrous creatures within, collect all the Energy Crystals throughout, and save your comrade from certain doom.",https://justinkredible.itch.io/beyond-sector-x-pnp,https://boardgamegeek.com/boardgame/390357/beyond-sector-x,27 US Letter Pages,"12 Dice (1 yellow, 1 white, 2 blue, 4 green, and 4 black), 9 small tokens",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/tNroUz60t8GYJ79RZLuM.png,,help@pnpfinder.com
Bleak Moor - Smugglers & Wreckers,John Grills,Zadorf Games,Paid,£5.00,1,up to 20 minutes,12+,Pirates,Card Play,Push Your Luck,LIGHT-MEDIUM,Solo,Base Game,Quick Print (no crafting required),Enter the unsavoury world of wrecking – the despicable act of luring unsuspecting ships ashore to plunder their cargo.,"Isolated, high on Bleak Moor stands Lone Tree Farm. Inside, on a cold winters night, you sit by an open fire fearing the ransom note that will soon arrive. You know you must meet its demands or you will not see another summer, but to do so will mean entering into the unsavoury world of wrecking – the despicable act of luring ships onto treacherous rocks so you can plunder their cargo.",https://zadorf-games.square.site/product/bleak-moor/8,https://drive.google.com/file/d/1nkJehkFL9k4m2m-fJmftnYPk0S78Yu6v/view https://drive.google.com/file/d/1-17kfG6t5yg_mkPH_Hgk1XMkeSE62EWc/view,10,,English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/PELeUZdQ0SYgrUHQ4f5G.jpg,,help@pnpfinder.com
Shh... I'm trying to sleep,Paul Conry / John Grills,Zadorf Games,Paid,£5.00,2+,up to 20 minutes,8+,Other,Card Play,Pattern Recognition,LIGHT-MEDIUM,Competitive,Base Game,Simple Cuts (a few cards or tiles),Will you help Joe sleep all night or keep him awake?,"We’ve all been there, just when you are about to fall asleep, a barking dog or dripping tap keeps you awake. In this fun, family game for 2-4 players, will you help Joe get a good night’s sleep, or will you keep him awake all night?",https://zadorf-games.square.site/product/shh-i-m-trying-to-sleep/22,https://drive.google.com/file/d/1Eiwl0idb1wSBLMyQVFKXcz2ChAYjAq_0/view,8,,English,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/uUusn3w48TLqrs6smatH.jpg,,help@pnpfinder.com
Avast ye pirates,Amos Burke / John Grills,Zadorf Games,Paid,£5.00,1-10,up to 20 minutes,8+,Pirates,Card Play,Area Control / Area Majority / Territory Control,LIGHT-MEDIUM,Competitive,Base Game,Simple Cuts (a few cards or tiles),Sail the seven seas and sink or capture your opponent’s ships to claim their treasure.,"Manoeuvre your pirate or Royal Navy ships to fire your cannons or board other ships in an attempt to steal their treasure. Place compass cards to move your ship, cannon cards to fire at and sink other ships, helm cards to evade cannon fire and cutlass cards to board other ships. Sink or board a ship to steal their treasure. When all pirate ships are sunk the player with the most treasure wins.",https://zadorf-games.square.site/product/avast-ye-pirates/23,https://drive.google.com/file/d/18WfltSi2vCe3xjGAr3z0rDC-PumAOrw5/view,12,,English,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/NV9d0cO2b3ID5xlr5CCs.jpg,,help@pnpfinder.com
Heroes Alliance,Pedro Valente,Self-published,Name your price,$,1-5,up to 60 minutes,12+,Adventure,Cooperative Play,Modular Board,MEDIUM,Cooperative,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",Super Heroes have to protect the City from a plethora of treats and Vilans.,"A strategic board game for 2–5 players (solo mode included) where heroes fight to save a city from escalating threats, disasters, and powerful supervillains—while one player controls the chaos as the Villain. Inspired by superhero RPGs, every choice shapes the fate of the city.",https://jovas123gmailcom.itch.io/heroes-alliance,,,Cubes and Pawns,Portuguese,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/JhvFOTCgFwmpsHY6ylDz.png,,help@pnpfinder.com
Legends of the Arena: Alysia vs. Fitz,Brian and Michael Toth,Toth Games,Free,$0,2,up to 10 minutes,12+,Fighting,Action Selection,,LIGHT-MEDIUM,Competitive,Promo/Demo Version,Simple Cuts (a few cards or tiles),Legends of the Arena is an intense brawling board game inspired by Super Smash Bros. Knock your foes out of the Arena to win!,"Choose your Legend, pick your cards, and push your opponents out of the Arena to claim victory! Featuring: 🪓 Alysia, a relentless barbarian who overwhelms foes 🥩 Fitz, a heavy-hitting chef who punishes those who strike first 💥 Follow the full game on Kickstarter: https://www.kickstarter.com/projects/tothgames/legends-of-the-arena",https://tothgamesbrian.itch.io/legends-of-the-arena-duel,https://tothgames.com/games/loa/how-to-play/,7,None!,English,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/te42xsuNdmnqnNxtFSeQ.png,,help@pnpfinder.com
Rock Girls,StormCenter Studio,StormCenter Studio,Free,$0,1-4,up to 10 minutes,12+,Party / Carnival,Card Play,Trick Taking,LIGHT,Competitive,Base Game,Simple Cuts (a few cards or tiles),Rock Girls is a fast-paced party card game themed around rock bands,"In the game, players take on the role of band leaders, drawing cards, playing them, and positioning musicians on stage to cleverly trigger unique skill effects and compete for the highest score. Each round is filled with tactical decisions and a touch of luck, with endless possibilities from different musician combinations.",https://boardgamegeek.com/boardgame/448693/rock-girls,,5,,,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/WlEEsaE8pErd6y53VErz.png,,help@pnpfinder.com
House of Cards,,web published,Free,$,2+,up to 20 minutes,8+,Politics,Auction / Bidding,Hand Management,MEDIUM,Competitive,Base Game,Simple Cuts (a few cards or tiles),fast-paced political strategy card game,"An original, fast-paced, zero-ramdom, political strategy card game for 2 to 4 players, reminiscent of High Society, For Sale, and Condottiero",https://boardgamegeek.com/filepage/302524/house-of-cards-2025-rules-and-pnp-v10,https://xoellijo.itch.io/house-of-cards,9,,"english, spanish",2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/IgWtoKCAYaHlRWOQ1lPE.jpg,,help@pnpfinder.com
Tiny Cold War,Sebastiano Zamperetti,Web published,Free,$,1,up to 20 minutes,10+,Historical / War,Card Play,Dice Rolling,LIGHT-MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),Lead your nation to glory winning the Cold War!,"A free Print and Play solo game set during the Cold War. Play as a superpower leader, using strategy and instinct to avoid nuclear disaster and outmaneuver your rival. Each of the 18 rounds is based on a real Cold War event. Win by dominating two areas of influence by game’s end. History, tension, and challenge in one tight package!",https://www.pnparcade.com/products/tiny-cold-war,,"8 pages to print: Board, rules, 18 events cards, markers",7d6,English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/2BmFvUKswmiFDWBW9QI0.png,,help@pnpfinder.com
"Sickle - An Unofficial, Fan Variant, Travel version of Scythe",Scott Allen Czysz,web published,Free,$,1-2,up to 90 minutes,14+,War / Wargame,Area Control / Area Majority / Territory Control,Resource Management,MEDIUM,Solo/Competitive,Base Game,Simple Cuts (a few cards or tiles),"2 factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.","A travel-sized, unofficial 2-player adaptation of Scythe. In an alternate 1920s Europa, rival factions race to control land and resources near the Factory—a mysterious power that fueled the last war. Build your engine, deploy mechs, gather resources, and outmaneuver your opponent. With asymmetric powers and minimal luck, every choice matters. Compact in size, epic in feel.",https://drive.google.com/drive/folders/1j6dJdUrqjr7XIF-YIe_Tx81VLGdQSV_p,,2 pages + rules,"5 meeples per player for workers, 3 large cubes per player for Mechs, 9 small cubes per player for markers, 1 pawn per player to track actions, 3d6 per player for combat",,2019,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/rxf7XN65u1uCBb7YLXqZ.png,,help@pnpfinder.com
Bravura,Mirage Maps,Mirage Maps,Free,$,1-5,up to 60 minutes,12+,Other,Hand Management,Drafting,LIGHT-MEDIUM,Solo/Competitive,Base Game + Expansion,Simple Cuts (a few cards or tiles),Ballet dancers chase their dream roles.,1-6 players. Everyone can choose if they wish to play co-op or competitive. The players collect sets to improve their dance skills during the training phase and during the Casting phase these let them get the roles of the ballet. The better roles gain more Fame. You can play for one performance or a whole season. In solo mode you also have a performance phase and you can play even in career mode.,https://drive.google.com/file/d/1fmoknF8h7CwV97juhcp7K4eIpbQwsePt/view?usp=sharing,,24,,,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/qbQE8QGwaiPaKrGkBLBC.png,,help@pnpfinder.com
Royal Courier,Arthur Wohlwill,Self Published,Free,$,1,up to 20 minutes,12+,Abstract,Grid Movement,Puzzle Solving,LIGHT,Solo,Base Game,Simple Cuts (a few cards or tiles),Deliver an important message to members of the royal family.,"In this game, you will have a 3X3 array of cards with depictions of chess pieces representing family members. You must move your courier token to each card and the moves will be based on the chess moves of the piece depicted on the card. Furthermore, some family members (queen and king) are most important, so delivering to them first will get you the best score!",https://boardgamegeek.com/boardgame/450302/royal-courier,,1,"One token, pawn or meeple",,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/qii1s3OpVasEyYgDuzzv.png,,help@pnpfinder.com
Cosmocadence,Attila Nagy,,Free,,1-10,up to 10 minutes,8+,Science Fiction,Pattern Recognition,Cooperative Play,LIGHT,Solo/Cooperative,Base Game,Quick Print (no crafting required),"Find the rhythm that leads you home, together.","In this one-sheet print-and-play game, your mission is to travel through space, planet by planet, and make it home. The game is extremely short-setup included, it takes about a minute to play. But beware: failure can strike at any second. Each player, in turn, must clap in rhythm to move forward to the next planet. Stay in sync, or risk being lost in space.",https://boardgamegeek.com/filepage/303559/cosmocadence,,2 pages,Metronome video/app,English,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/ofsfhPNJps9RG15usZzR.webp,,help@pnpfinder.com
Brothers in arms,Vincenzo Giambusso,/,Free,$,1,up to 60 minutes,12+,War / Wargame,Move Through Deck,Multi-use cards,MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),Defeat the enemy before your squad is wiped out or the enemy escapes.,"Solo, hand-held WWII card wargame. Lead a six-man British squad through shifting terrain—villages, woods, hills, swamps—balancing movement, cover, and tactical actions. Fire, scout, snipe, and call air strikes to reduce the Enemy Level to zero before your men are suppressed, leaders killed, or the enemy withdraws beyond range 4. Every turn weighs risk, uncertainty, and brutal attrition.",https://boardgamegeek.com/thread/3545944/wip-brothers-in-arms-solo-pnp-contest-25,,4 pages for 18 cards,,,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/lPjn84QnuEchN7Yk7AW6.png,IN-HAND GAMES,help@pnpfinder.com
Barbershop (Farmhouse Retheme),"Sean Ross (I), redesigned by Jamie Rufe",(web published),Free,,2,up to 120 minutes,12+,Animals / Nature,Trick Taking,,MEDIUM,Competitive,Base Game,Simple Cuts (a few cards or tiles),The best way to play Coiffeur Jass with only 2 players!,"The third game in an ongoing exploration of Strawman Variations--developing 2 player versions of trick-taking games by adding strawmen (1 or more piles of cards, usually with the top card exposed). Object Seventeen tricks are played each hand; certain cards are worth certain points; the object is to capture the most points. There is a small bonus for winning the last trick.",https://boardgamegeek.com/filepage/303461/barbershop-retheme-farmhouse,,43 cards,,English,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/sRDaghwVicjzGe2fM7Zi.webp,,help@pnpfinder.com
Witch Trial,James Ernest,Cheapass Games,Name your price,,3+,up to 45 minutes,14+,Historical,Role Playing,,LIGHT,Competitive,Base Game,Simple Cuts (a few cards or tiles),Defend or prosecute alleged witches in colonial America in this humorous card game,"All lawyers pair a Suspect with a Charge card to represent the prosecuting case.  When a case comes to court, players add their Evidence cards and make Motions and Objections to sway the jury to their side. Then the case is either settled by plea bargain (divide the case money) or by the jury (a 2D6 dice roll of 13 or more, including all card modifiers played). The lawyer with the most money wins.",https://crabfragmentlabs.com/shop/p/witch-trial,,"Board, 90 Cards, Rules","One counter, two 6-sided dice, and money",English,2001,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/cIVExnaMEe6U2NIUJZjT.jpg,,help@pnpfinder.com
Breakaway Football,"Mark Burlet, Michael Caplan, Arthur Franz IV, Ben Jennings",Uplink Underground Games,Paid,$,1-4,up to 60 minutes,12+,Sports,Hand Management,,MEDIUM,Solo/Competitive,Base Game + Expansion,"Moderate Assembly (cards, boards, tiles, square tokens)",Legendary gridiron teams battle it out using special abilities and breakaway plays.,"A fast-paced game of Offense and Defense play-calling, Breakaway Football recreates the excitement of big league American football with no dice, no spinners, and no charts to cross-reference. Using the innovative ""Game Day Deck"" mechanic, random events are built into the core action in balance with the player strategy. Best of all, action in each play resolves in seconds.",https://uplinkunderground.gumroad.com/,https://uplinkunderground.com/board-games/breakaway-football/,,,,2017,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/HdQcQPy2IDG44UNlZOS5.webp,,help@pnpfinder.com
Tape Jam,Georg Fischer,-,Free,$,1-4,up to 20 minutes,8+,Collecting,Set Collection,Drafting,LIGHT,Solo/Competitive,Base Game,Simple Cuts (a few cards or tiles),Untangle your favorite tapes,"You look through your old cassettes and, oh no! All the tape of your favorite cassettes are all chewed up. Its time to get ahead of this tangle and tidy it all up! In TAPE JAM you reveal and choose cards from a common pool to get triplets of same number or consecutive numbers in your display to score the highest score in the end. But your tape has two sides and you want both to fit.",https://www.pnparcade.com/products/tape-jam?_pos=1&_sid=5dc3f5493&_ss=r,,4 pages,,,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/FJUKPIh8yvxt3HKAYA0a.webp,,help@pnpfinder.com
Super Robo Jetkaiser Z,Martin Gonzalvez,web published,Free,,1,up to 60 minutes,12+,Science Fiction,Deck Building,,MEDIUM,Solo,Base Game + Expansion,"Advanced Crafting (many cards, folding boards, tiles, circle tokens)",Defeat the Zargonian beast fighters in this epic deck builder and boss battler!,Defeat the Zargonian beast fighters in this epic deck builder and boss battler!,https://drive.google.com/drive/folders/1GcQiJW0yy7F-cRZPFGJXJ8l6wCwW3HvF?usp=sharing,,20+ pages,,English,2025,https://cf.geekdo-images.com/9DPEhDQHZG1yzHR7-KRQ4Q__original/img/UTBPR2Rk0lQmiGL7TK6gBderN3Q=/0x0/filters:format(png)/pic8941745.png,2025 SOLO PNP CONTEST,help@pnpfinder.com
He Watches with No Eyes,Dominic Boomhower,web published,Free,,1,up to 30 minutes,8+,Horror / Supernatural,Dice Rolling,,LIGHT-MEDIUM,Solo,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",Play as someone in the town of Mournington as you try to escape Slenderman.,"You play as a citizen in the unfortunate town of Mournington. You are now being hunted by the infamous creature Slenderman. You must find each of the eight pages, collect items to help you and stay out of the dark. Make sure to keep the lights on and make sure your sanity doesn't get too low, lest he make his move.",https://drive.google.com/drive/folders/12qQ9BnrWfnikhAjp0GQtqNBGQBvxlJPh?usp=sharing,,With Rulebook: 16 Pages,"8 Sided Die, Player Pawn, 8 Page Tokens, 1 Sanity Tracker Cube",English,2025,https://github.com/mgonzalvez/pnpfinder-lite/blob/main/img/he_who_watches_with_no_eyes.png?raw=true,2025 SOLO PNP CONTEST,
Poker's Rogue Reckoning,Damian Reloaded,Damian Reloaded,Free,0,1,up to 60 minutes,8+,Dungeon Crawl,Roguelike Elements,Dice roll / Card ability,MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),"Roguelike. 54-card deck, colored dice for stats and 2x2 or 3x3 card grid per round.","54-card deck, Red dice (for HP tracking), Yellow dice or counter (for money tracking), Blue dice to track player/enemy Attack Points (ATK), 3 White dice (player combat rolls), 3 Black dice (enemy combat rolls)",https://boardgamegeek.com/boardgame/452001/pokers-rogue-reckoning/files,https://damianreloaded101.blogspot.com/2025/08/pokers-rogue-reckoning.html,10,"6 Red dice, 4 Yellow dice (or counter), 2 Blue dice, 3 White dice, 3 Black dice ",English,2025,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh8hnb_WbNZtZyCv2HypKMTCHC3niQlBGf4WnqaX8GXd-yG6sY1l_v06wZi-GIrLTwh20hCLyfyuv3u5NQInOKDhiwALD1PWdymNjri25YWJ4_K5aS0HCwR3aFYbKjVrASRCZb_h_537LYft3uRbtDGPnrun48gRAb39-pgI3GDso4od0CbsxBjgi_k7LQ/s400/cover.png,2025 SOLO PNP CONTEST,
Sorry! That's my dungeon!,Alexandre Camargo,Web Published,Free,0,1-4,up to 30 minutes,8+,Dungeon Crawl,Point-to-Point Movement,Take That,LIGHT,Competitive,Base Game,Simple Cuts (a few cards or tiles),"Race through a dungeon, battle monsters, collect treasures","In Sorry! That's My Dungeon, classic mechanics meet in a fast, ruthless adventure. From the board and slides of Sorry! (1929) to the monsters and treasures of Dungeon! (1975), plus dice from Quantum (2013), players race through a dungeon where mercy has no place. Compete to reach the grand hall, battle monsters, and gather treasures. The player with the most wins.",https://alexandrecamargo.itch.io/sorry-thats-my-dungeon,,"Board, Deck and Rules: 4 pages each",4 dice per player in different colors per player,"English, Portuguese (PT BR)",2024,https://img.itch.zone/aW1hZ2UvMzA3OTM2My8xODUwNTY4NC5qcGVn/original/uv%2Fg6I.jpeg,,
Bone Machine,Tracey.J.Phillips ,,Free,,2,up to 30 minutes,12+,Steampunk,Hand Management,Take-that,LIGHT-MEDIUM,Competitive,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",2 player tile laying game about Junk-Smiths building Robots,"It's the futuristic Victorian era & the age of steam & robotics has arrived.
You are Junk-Smiths who have challenged each other to a Automaton making contest. Your task is to weld together the finest Bone Machine the bone yard has ever seen.
Scour the bone yard for junk parts, chain them together with gears, and claim the successfully repurposed parts with tokens.
But beware: your rivals may damage your recycling efforts with malfunctions or corrosion, reducing your masterpiece to scrap.",https://bonemachinegame.wordpress.com/about/,,10 pages,,English,2025,https://cf.geekdo-images.com/GnHuBVsij2HX74PpT1AqqQ__original/img/esIyaZsXWbdL0m5Fo4v2Xm5_7bw=/0x0/filters:format(png)/pic9097695.png,,
Flipping Fortune,Georg Fischer,,Free,,1,up to 30 minutes,8+,Cultural Heritage,Push Your Luck,Deck Building,LIGHT,Solo,Base Game,Simple Cuts (a few cards or tiles),flip tarot cards to tell customers fortunes,"FLIPPING FORTUNE is a quirky push-your-luck deckbuilding game about tarot reading. Tell customers their fortunes by flipping tarot cards from your deck. The better you meet the demands of the customers, the happier they leave. But don‘t overdo it and stay realistic or your tarot reading busts.
Serving customers gains you fortune cookies, that you can spend to improve your deck with more tarot cards and strong effects. Play five rounds and advance your tarot deck to win the game.",https://drive.google.com/drive/folders/1eJGN5Jkm75b2GAo6lA6rMrv22yVBufr7,,5 pages,2 tokens,english,2025,https://cf.geekdo-images.com/mpGUk97-wXwIAFeVux1dYw__imagepage/img/EGlTv0fH4zPNSvcVNFmCgnSvRwc=/fit-in/900x600/filters:no_upscale():strip_icc()/pic9022132.jpg,2025 SOLO PNP CONTEST,
Griphold Tower,Joe Klipfel,web-published,Free,,1,up to 30 minutes,8+,Fantasy,Move Through Deck,Tower Defense / In-hand Game,LIGHT-MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),Make your final stand against waves of enemies in this in-hand tower defense game. ,Griphold Tower is a no-table-needed solo game. You play as a lone adventurer in the top room of an ancient tower. You will use your character's strength and unique abilities to defeat waves of monsters coming through the room's only entrance. At the end of the final wave you'll face a final boss that presents a distinct challenge requiring every ounce of your creativity to defeat.,https://boardgamegeek.com/filepage/248665/griphold-tower-pnp,https://boardgamegeek.com/filepage/248667/griphold-tower-rulebook,"4 pages, 18 cards to print",,English,2020,https://cf.geekdo-images.com/7UmBDVz9do9jgyLgVrf4og__original/img/IZ1rXzbQhzPbVznJdShIUPUUQzo=/0x0/filters:format(png)/pic7152794.png,IN-HAND GAMES,
I Am Lynx,Marek Kolcun,web published,Free,,1,up to 10 minutes,8+,Animals / Nature,Move Through Deck,In-hand game,LIGHT,Solo,Base Game,Simple Cuts (a few cards or tiles),You are a mother-lynx struggling to protect yourself and your cubs against soulless hunters.,You are a mother-lynx that struggles to survive in the wild and protect herself and thy cubs against soulless hunters.,https://drive.google.com/drive/folders/1RaNEhDnMHFwUscITT78WjvU2mOR3bP2B?usp=sharing,https://boardgamegeek.com/thread/1965957/wip-i-am-lynx-an-18-card-game-with-no-table-requir,"9 cards, 2 pages",,English,2018,https://cf.geekdo-images.com/EYjosCiXNNVUkTmocItT4A__original/img/itE1fTy1Slfkvr66fW9sjT1fPJo=/0x0/filters:format(jpeg)/pic4058583.jpg,IN-HAND GAMES,
"Jarl: A Solo, 18-Card Civilization Builder",Joe Klipfel,web published,Free,,1,up to 30 minutes,14+,Civilization Building,Card Play,Engine Building,MEDIUM-HEAVY,Solo,Base Game,Simple Cuts (a few cards or tiles),"A fast-playing, highly strategic, puzzly and abstract civilization-building game in 18 cards.","A fast-playing, highly strategic, puzzly and abstract civilization-building game in 18 cards.",https://boardgamegeek.com/thread/3528346/jarl-a-solo-18-card-civilization-builder,https://drive.google.com/drive/folders/1OwciOSR9VEiPrsnqALmbiDdHhpghgUgt?usp=sharing,"18 cads, 2 pages to print",,English,2025,https://cf.geekdo-images.com/kOuUBoV1GBxXTpnOpOaMEQ__original/img/C8foh81trcDj3QoNUn1GeghKDGs=/0x0/filters:format(png)/pic8940829.png,,
Behold: Rome,Joe Klipfel,Mythfield Games,Paid,$4,1,up to 60 minutes,10+,Civilization Building,Move Through Deck,In-hand Game,MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),Behold: Rome is a solo civilization-building card game played without a table.,"Behold: Rome is a solo civilization-building card game played without a table. Store and spend resources to develop your civ and build your engine. Conquer wealthy regions, or abandon them to level up your nation. Outsmart and outscore your chosen rival civ to solidify your place in history!",https://www.pnparcade.com/products/behold-rome?_pos=1&_sid=ab257f2d5&_ss=r,,26 cards,,English,2025,https://cf.geekdo-images.com/qndvw6p3cHxPY6xWI9H2RQ__original/img/BXnBo1iPH8Z5rzoLcs2Bzk8oy5I=/0x0/filters:format(png)/pic8490723.png,IN-HAND GAMES,
By Torchlight,Barny Skinner,web published,Free,,1,up to 60 minutes,12+,Dungeon Crawl,Dice Placement,,MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),By Torchlight is a solitaire 9 card dice-placement dungeon crawl.,"By Torchlight is a solitaire 9 card dice-placement dungeon crawl, featuring a choice of 4 characters to play, 4 increasingly difficult levels each with thousands of possible dungeon layouts, 12 different types of monster and 8 different items of equipment. Can you claim the treasure, or will your skull adorn the walls for a future fool to find?",https://www.dropbox.com/sh/o5qt1fmepwihgb4/AAACCVJkrEut-XaCjGpAneGja?dl=0,https://boardgamegeek.com/thread/2580379/wip-by-torchlight-2021-9-card-nanogame-print-and-p,9 cards,"3 green dice, 2 blue dice, 1 red die, 11 dice of any color, 1 8mm cube",English,2021,https://cf.geekdo-images.com/YXKDzEiB_o42OLuno1gXlw__original/img/fYXablgiFP0wFkhOfuwbR54RQHI=/0x0/filters:format(png)/pic5916924.png,,
Tightrope Terror,Steven Tondeur,web published,Free,,1,up to 20 minutes,14+,Tightrope Balancing,Set Collection,Balance Management,LIGHT-MEDIUM,Solo,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)","A solitaire card game of balance, balance and nothing but balance. ","A solitaire card game of balance, balance and nothing but balance. Tightrope Terror dares you to cross its titular rope and face your fears up high. Each turn, choose from a limited hand of cards: either play them to shift your balance and momentum, or foster them for their useful abilities and Happy Memories, helping you fight off creeping vertigo.",https://drive.google.com/drive/folders/1lsG48_-WNEF2wP2VOJeIAfG3HJK7bWqU?usp=sharing,https://boardgamegeek.com/thread/3507873/wip-tightrope-terror-1p-set-collection-balance-mgm,"28 cards (4 pages - A4), 1 double-sided board, 1 optional playmat",3 cubes for tracking,English,2025,https://cf.geekdo-images.com/VBPep5Co6BB5uc6V9HFv1g__original/img/vBmdLC9C3TjLwhaoRR82toEOWik=/0x0/filters:format(jpeg)/pic8868505.jpg,2025 SOLO PNP CONTEST,
